used,"x, 2theta (deg)",obs,calc,bkg,diff,Gd1.5Mn0.25Zr2.25O7,tick-pos,Axis-limits
1,20,25526.7,25657.269258380384,25657.269258380384,-2752.829258,29.699069342361433,Gd1.5Mn0.25Zr2.25O7,17
1,20.01,25580,25629.239726789183,25629.239726789183,-2671.499727,34.42528612691665,-13111.3,83
1,20.02,25646.7,25601.314988251008,25601.314988251008,-2576.874988,49.475511161866834, ,-20322.515
1,20.03,25260,25573.494697617632,25573.494697617632,-2935.754698,58.770900981470874, ,138324.215
1,20.04,25610,25545.77851,25545.77851,-2558.038511,61.660722602081094, , 
1,20.05,24986.7,25518.166083912416,25518.166083912416,-3153.726084,72.56543736952779, , 
1,20.06,25780,25490.657074978943,25490.657074978943,-2332.917075, , , 
1,20.07,25286.7,25463.251142223475,25463.251142223475,-2798.811142, , , 
1,20.08,25436.7,25435.947944922165,25435.947944922165,-2621.507945, , , 
1,20.09,24590,25408.747143230805,25408.747143230805,-3441.007143, , , 
1,20.1,25063.3,25381.64839818316,25381.64839818316,-2940.608398, , , 
1,20.11,25306.7,25354.651371689208,25354.651371689208,-2670.211372, , , 
1,20.12,25006.7,25327.75572653336,25327.75572653336,-2943.315727, , , 
1,20.13,25146.7,25300.961126372873,25300.961126372873,-2776.521126, , , 
1,20.14,25183.3,25274.267235736024,25274.267235736024,-2713.227236, , , 
1,20.15,24996.7,25247.673720020433,25247.673720020433,-2873.23372, , , 
1,20.16,25076.7,25221.180245491363,25221.180245491363,-2766.740245, , , 
1,20.17,24993.3,25194.786479279956,25194.786479279956,-2823.746479, , , 
1,20.18,25086.7,25168.492089381598,25168.492089381598,-2704.052089, , , 
1,20.19,25156.7,25142.296744654166,25142.296744654166,-2607.856745, , , 
1,20.2,25233.3,25116.200114816376,25116.200114816376,-2505.160115, , , 
1,20.21,24810,25090.201870445944,25090.201870445944,-2902.46187, , , 
1,20.22,24610,25064.30168297809,25064.30168297809,-3076.561683, , , 
1,20.23,25053.3,25038.49922,25038.49922,-2607.459225, , , 
1,20.24,25063.3,25012.794168767694,25012.794168767694,-2571.754169, , , 
1,20.25,25066.7,24987.186189167263,24987.186189167263,-2542.746189, , , 
1,20.26,25110,24961.67496075031,24961.67496075031,-2473.934961, , , 
1,20.27,25103.3,24936.260159213645,24936.260159213645,-2455.220159, , , 
1,20.28,24800,24910.94146110134,24910.94146110134,-2733.201461, , , 
1,20.29,25163.3,24885.71854380309,24885.71854380309,-2344.678544, , , 
1,20.3,24693.3,24860.591085552456,24860.591085552456,-2789.551086, , , 
1,20.31,24666.7,24835.558765425267,24835.558765425267,-2791.118765, , , 
1,20.32,24783.3,24810.62126333789,24810.62126333789,-2649.581263, , , 
1,20.33,24563.3,24785.778260045627,24785.778260045627,-2844.73826, , , 
1,20.34,24993.3,24761.02943714093,24761.02943714093,-2389.989437, , , 
1,20.35,24766.7,24736.374477051853,24736.374477051853,-2591.934477, , , 
1,20.36,25336.7,24711.813063040354,24711.813063040354,-1997.373063, , , 
1,20.37,24806.7,24687.34487920059,24687.34487920059,-2502.904879, , , 
1,20.38,24500,24662.969610457345,24662.969610457345,-2785.22961, , , 
1,20.39,24920,24638.686942564233,24638.686942564233,-2340.946943, , , 
1,20.4,24836.7,24614.496562102227,24614.496562102227,-2400.056562, , , 
1,20.41,24736.7,24590.39815647783,24590.39815647783,-2475.958156, , , 
1,20.42,24833.3,24566.391413921592,24566.391413921592,-2355.351414, , , 
1,20.43,24760,24542.476023486324,24542.476023486324,-2404.736023, , , 
1,20.44,24670,24518.651675045527,24518.651675045527,-2470.911675, , , 
1,20.45,24713.3,24494.918059291744,24494.918059291744,-2403.878059, , , 
1,20.46,24486.7,24471.274867734905,24471.274867734905,-2606.834868, , , 
1,20.47,24590,24447.721792700704,24447.721792700704,-2479.981793, , , 
1,20.48,24580,24424.258527328944,24424.258527328944,-2466.518527, , , 
1,20.49,24766.7,24400.884765571944,24400.884765571944,-2256.444766, , , 
1,20.5,24926.7,24377.600202192865,24377.600202192865,-2073.160202, , , 
1,20.51,24750,24354.404532764132,24354.404532764132,-2226.664533, , , 
1,20.52,24803.3,24331.297453665757,24331.297453665757,-2150.257454, , , 
1,20.53,24820,24308.278662083736,24308.278662083736,-2110.538662, , , 
1,20.54,24490,24285.34785600847,24285.34785600847,-2417.607856, , , 
1,20.55,24306.7,24262.50473423309,24262.50473423309,-2578.064734, , , 
1,20.56,24420,24239.748996351853,24239.748996351853,-2442.008996, , , 
1,20.57,24393.3,24217.080342758567,24217.080342758567,-2446.040343, , , 
1,20.58,24313.3,24194.49847464495,24194.49847464495,-2503.458475, , , 
1,20.59,24786.7,24172.003093999036,24172.003093999036,-2007.563094, , , 
1,20.6,24823.3,24149.59390360353,24149.59390360353,-1948.553904, , , 
1,20.61,24136.7,24127.270607034272,24127.270607034272,-2612.830607, , , 
1,20.62,24210,24105.032908658588,24105.032908658588,-2517.292909, , , 
1,20.63,24216.7,24082.88051363372,24082.88051363372,-2488.440514, , , 
1,20.64,24086.7,24060.813127905178,24060.813127905178,-2596.373128, , , 
1,20.65,24166.7,24038.83045820523,24038.83045820523,-2494.390458, , , 
1,20.66,24370,24016.932212051237,24016.932212051237,-2269.192212, , , 
1,20.67,24110,23995.118097744114,23995.118097744114,-2507.378098, , , 
1,20.68,24173.3,23973.387824366724,23973.387824366724,-2422.347824, , , 
1,20.69,24470,23951.741101782256,23951.741101782256,-2104.001102, , , 
1,20.7,24526.7,23930.177640632715,23930.177640632715,-2025.737641, , , 
1,20.71,24756.7,23908.69715,23908.69715,-1774.257152, , , 
1,20.72,24453.3,23887.299349090867,23887.299349090867,-2056.259349, , , 
1,20.73,23873.3,23865.983943862248,23865.983943862248,-2614.943944, , , 
1,20.74,23756.7,23844.750650392838,23844.750650392838,-2710.31065, , , 
1,20.75,23650,23823.599183194878,23823.599183194878,-2795.859183, , , 
1,20.76,23486.7,23802.52925754998,23802.52925754998,-2938.089258, , , 
1,20.77,23770,23781.54058950757,23781.54058950757,-2633.80059, , , 
1,20.78,24026.7,23760.632895883205,23760.632895883205,-2356.192896, , , 
1,20.79,23753.3,23739.80589425717,23739.80589425717,-2608.765894, , , 
1,20.8,23600,23719.059302972822,23719.059302972822,-2741.319303, , , 
1,20.81,23853.3,23698.392841135046,23698.392841135046,-2467.352841, , , 
1,20.82,23233.3,23677.806228608715,23677.806228608715,-3066.766229, , , 
1,20.83,23906.7,23657.29918601717,23657.29918601717,-2372.859186, , , 
1,20.84,23166.7,23636.87143474061,23636.87143474061,-3092.431435, , , 
1,20.85,23320,23616.52269691459,23616.52269691459,-2918.782697, , , 
1,20.86,23493.3,23596.252695428477,23596.252695428477,-2725.212695, , , 
1,20.87,23166.7,23576.061153923845,23576.061153923845,-3031.621154, , , 
1,20.88,23810,23555.947796793036,23555.947796793036,-2368.207797, , , 
1,20.89,23760,23535.912349177543,23535.912349177543,-2398.172349, , , 
1,20.9,23460,23515.95453696654,23515.95453696654,-2678.214537, , , 
1,20.91,23360,23496.074086795255,23496.074086795255,-2758.334087, , , 
1,20.92,23310,23476.270726043545,23476.270726043545,-2788.530726, , , 
1,20.93,23560,23456.544182834306,23456.544182834306,-2518.804183, , , 
