used,"x, 2theta (deg)",obs,calc,bkg,diff,Gd1.5Mn0.25Zr2.25O7,tick-pos,diff/sigma,Axis-limits
1,20,25526.7,25668.36128,25657.26926,-2763.921283,24.15552822,Gd1.5Mn0.25Zr2.25O7,168.5823241,17
1,20.01,25580,25640.38506,25629.23973,-2682.645062,34.42103961,-13111.3,168.6318475,83
1,20.02,25646.7,25612.51403,25601.31499,-2588.07403,42.49131615, ,168.0871798,-76619.05827
1,20.03,25260,25584.74782,25573.4947,-2947.007824,49.46919517, ,169.4794973,141005.0028
1,20.04,25610,25557.08613,25545.77851,-2569.346126,55.78248589, ,171.0944184, 
1,20.05,24986.7,25529.52857,25518.16608,-3165.088573,61.65254097, ,168.3249833, 
1,20.06,25780,25502.07484,25490.65707,-2344.334845,67.21339727, ,169.9214524, 
1,20.07,25286.7,25474.7246,25463.25114,-2810.284596,72.55537399, ,168.6217661, 
1,20.08,25436.7,25447.47749,25435.94794,-2633.037493,77.74464905, ,169.0562037, 
1,20.09,24590,25420.3332,25408.74714,-3452.593195,77.74464905, ,169.7448085, 
1,20.1,25063.3,25393.29137,25381.6484,-2952.251373, , ,170.7533309, 
1,20.11,25306.7,25366.35169,25354.65137,-2681.911688, , ,168.868884, 
1,20.12,25006.7,25339.51381,25327.75573,-2955.073809, , ,168.7504074, 
1,20.13,25146.7,25312.77741,25300.96113,-2788.337405, , ,169.7842749, 
1,20.14,25183.3,25286.14214,25274.26724,-2725.102144, , ,167.4813422, 
1,20.15,24996.7,25259.60769,25247.67372,-2885.167694, , ,169.2238163, 
1,20.16,25076.7,25233.17373,25221.18025,-2778.733727, , ,170.3819239, 
1,20.17,24993.3,25206.83992,25194.78648,-2835.799915, , ,170.3622611, 
1,20.18,25086.7,25180.60593,25168.49209,-2716.16593, , ,170.6261996, 
1,20.19,25156.7,25154.47145,25142.29674,-2620.031445, , ,170.4699387, 
1,20.2,25233.3,25128.43614,25116.20011,-2517.396136, , ,170.7533309, 
1,20.21,24810,25102.49968,25090.20187,-2914.759677, , ,172.1917536, 
1,20.22,24610,25076.66174,25064.30168,-3088.921741, , ,171.1820668, 
1,20.23,25053.3,25050.92201,25038.49922,-2619.882012, , ,171.7943538, 
1,20.24,25063.3,25025.28016,25012.79417,-2584.240161, , ,170.0785113, 
1,20.25,25066.7,24999.73587,24987.18619,-2555.29587, , ,173.0124273, 
1,20.26,25110,24974.28882,24961.67496,-2486.548821, , ,171.1236395, 
1,20.27,25103.3,24948.93869,24936.26016,-2467.89869, , ,170.8996782, 
1,20.28,24800,24923.68516,24910.94146,-2745.945162, , ,172.3853242, 
1,20.29,25163.3,24898.52793,24885.71854,-2357.487927, , ,171.6391564, 
1,20.3,24693.3,24873.46665,24860.59109,-2802.426645, , ,170.8508121, 
1,20.31,24666.7,24848.50102,24835.55877,-2804.061021, , ,172.0950319, 
1,20.32,24783.3,24823.63074,24810.62126,-2662.590737, , ,171.2696704, 
1,20.33,24563.3,24798.85548,24785.77826,-2857.815476, , ,171.4351189, 
1,20.34,24993.3,24774.17492,24761.02944,-2403.134924, , ,171.3671497, 
1,20.35,24766.7,24749.58877,24736.37448,-2605.148774, , ,171.658673, 
1,20.36,25336.7,24725.09671,24711.81306,-2010.656709, , ,173.0511485, 
1,20.37,24806.7,24700.69842,24687.34488,-2516.258423, , ,173.2146068, 
1,20.38,24500,24676.39361,24662.96961,-2798.653606, , ,172.9257066, 
1,20.39,24920,24652.18195,24638.68694,-2354.441946, , ,172.5302872, 
1,20.4,24836.7,24628.06314,24614.49656,-2413.623139, , ,172.5302872, 
1,20.41,24736.7,24604.03688,24590.39816,-2489.59688, , ,173.6280507, 
1,20.42,24833.3,24580.10286,24566.39141,-2369.062859, , ,172.64617, 
1,20.43,24760,24556.26078,24542.47602,-2418.520776, , ,171.1139971, 
1,20.44,24670,24532.51032,24518.65168,-2484.770322, , ,174.8427865, 
1,20.45,24713.3,24508.8512,24494.91806,-2417.811196, , ,173.5511452, 
1,20.46,24486.7,24485.2831,24471.27487,-2620.843099, , ,173.8102414, 
1,20.47,24590,24461.80572,24447.72179,-2494.065724, , ,174.3464941, 
1,20.48,24580,24438.41878,24424.25853,-2480.678783, , ,173.9922412, 
1,20.49,24766.7,24415.12196,24400.88477,-2270.681962, , ,174.2604373, 
1,20.5,24926.7,24391.91497,24377.6002,-2087.474968, , ,175.5562588, 
1,20.51,24750,24368.7975,24354.40453,-2241.0575, , ,174.8047482, 
1,20.52,24803.3,24345.76927,24331.29745,-2164.729269, , ,174.6805656, 
1,20.53,24820,24322.82997,24308.27866,-2125.089972, , ,174.3178132, 
1,20.54,24490,24299.97932,24285.34786,-2432.239318, , ,176.0871943, 
1,20.55,24306.7,24277.21701,24262.50473,-2592.777011, , ,175.3567792, 
1,20.56,24420,24254.54276,24239.749,-2456.802763, , ,173.8870323, 
1,20.57,24393.3,24231.95628,24217.08034,-2460.916276, , ,176.1910894, 
1,20.58,24313.3,24209.45726,24194.49847,-2518.417261, , ,175.0237127, 
1,20.59,24786.7,24187.04543,24172.00309,-2022.605427, , ,175.9070777, 
1,20.6,24823.3,24164.72049,24149.5939,-1963.680487, , ,175.1285242, 
1,20.61,24136.7,24142.48215,24127.27061,-2628.042149, , ,175.8217848, 
1,20.62,24210,24120.33013,24105.03291,-2532.590128, , ,175.9451619, 
1,20.63,24216.7,24098.26413,24082.88051,-2503.824134, , ,176.1439752, 
1,20.64,24086.7,24076.28389,24060.81313,-2611.843885, , ,175.4992877, 
1,20.65,24166.7,24054.3891,24038.83046,-2509.949096, , ,175.5277756, 
1,20.66,24370,24032.57948,24016.93221,-2284.839479, , ,177.7827326, 
1,20.67,24110,24010.85475,23995.1181,-2523.114754, , ,176.2762037, 
1,20.68,24173.3,23989.21464,23973.38782,-2438.174638, , ,177.2097627, 
1,20.69,24470,23967.65885,23951.7411,-2119.91885, , ,177.707625, 
1,20.7,24526.7,23946.18711,23930.17764,-2041.747111, , ,176.4936259, 
1,20.71,24756.7,23924.79914,23908.69715,-1790.359137, , ,177.7546061, 
1,20.72,24453.3,23903.49465,23887.29935,-2072.454654, , ,178.2133553, 
1,20.73,23873.3,23882.27338,23865.98394,-2631.233382, , ,178.2133553, 
1,20.74,23756.7,23861.13504,23844.75065,-2726.695044, , ,176.7294543, 
1,20.75,23650,23840.07937,23823.59918,-2812.339367, , ,176.3329238, 
1,20.76,23486.7,23819.10607,23802.52926,-2954.666074, , ,176.4463091, 
1,20.77,23770,23798.21489,23781.54059,-2650.47489, , ,177.2286659, 
1,20.78,24026.7,23777.40554,23760.6329,-2372.965543, , ,176.9087335, 
1,20.79,23753.3,23756.67776,23739.80589,-2625.637759, , ,176.2291122, 
1,20.8,23600,23736.03127,23719.0593,-2758.29127, , ,177.3132821, 
1,20.81,23853.3,23715.4658,23698.39284,-2484.425804, , ,177.2193556, 
1,20.82,23233.3,23694.98109,23677.80623,-3083.94109, , ,177.8856374, 
1,20.83,23906.7,23674.57686,23657.29919,-2390.136865, , ,176.5409301, 
1,20.84,23166.7,23654.25285,23636.87143,-3109.812854, , ,178.605711, 
1,20.85,23320,23634.00879,23616.5227,-2936.268794, , ,177.595045, 
1,20.86,23493.3,23613.84442,23596.2527,-2742.804418, , ,178.4564373, 
1,20.87,23166.7,23593.75946,23576.06115,-3049.319462, , ,179.4714462, 
1,20.88,23810,23573.75366,23555.9478,-2386.013663, , ,179.1926338, 
1,20.89,23760,23553.82676,23535.91235,-2416.086757, , ,177.2097627, 
1,20.9,23460,23533.97848,23515.95454,-2696.238483, , ,178.2787144, 
1,20.91,23360,23514.20857,23496.07409,-2776.468575, , ,176.8049773, 
1,20.92,23310,23494.51678,23476.27073,-2806.776779, , ,178.5869536, 
1,20.93,23560,23474.90283,23456.54418,-2537.162833, , ,178.6989088, 
1,20.94,23086.7,23455.36648,23436.89419,-2990.92648, , ,177.2286659, 
1,20.95,23690,23435.90746,23417.32047,-2368.167459, , ,178.0356706, 
1,20.96,23413.3,23416.52552,23397.82275,-2625.485517, , ,178.269459, 
1,20.97,23056.7,23397.2204,23378.40077,-2962.780399, , ,179.1089054, 
1,20.98,23696.7,23377.99185,23359.05427,-2303.551846, , ,177.7827326, 
1,20.99,23173.3,23358.83961,23339.78296,-2807.79961, , ,178.8295278, 
1,21,23773.3,23339.76343,23320.58659,-2188.723433, , ,179.0064245, 
1,21.01,23480,23320.76307,23301.46489,-2463.023068, , ,179.2855265, 
1,21.02,23110,23301.83826,23282.41759,-2814.098259, , ,178.5217074, 
1,21.03,23020,23282.98876,23263.44443,-2885.248761, , ,177.4260409, 
1,21.04,23613.3,23264.21432,23244.54515,-2273.174325, , ,179.7128265, 
1,21.05,22936.7,23245.5147,23225.71948,-2931.074701, , ,178.2975042, 
1,21.06,23036.7,23226.88964,23206.96716,-2812.44964, , ,179.1647287, 
1,21.07,23023.3,23208.3389,23188.28792,-2807.2989, , ,179.0996929, 
1,21.08,23353.3,23189.86224,23169.68152,-2458.822235, , ,178.9784903, 
1,21.09,23673.3,23171.4594,23151.14768,-2120.4194, , ,178.605711, 
1,21.1,23663.3,23153.13015,23132.68615,-2112.090152, , ,179.3507736, 
1,21.11,23273.3,23134.87425,23114.29667,-2483.834251, , ,178.4188891, 
1,21.12,23266.7,23116.69145,23095.97898,-2472.251454, , ,180.0463829, 
1,21.13,22950,23098.58152,23077.73283,-2770.841523, , ,178.3443299, 
1,21.14,22583.3,23080.54421,23059.55795,-3119.504212, , ,179.4343891, 
1,21.15,23240,23062.57929,23041.45409,-2444.839294, , ,180.4438971, 
1,21.16,23136.7,23044.68652,23023.421,-2530.246524, , ,179.8054504, 
1,21.17,22800,23026.86567,23005.45842,-2849.125668, , ,180.2498266, 
1,21.18,22960,23009.11649,22987.5661,-2671.376491, , ,180.748444, 
1,21.19,23223.3,22991.43876,22969.74378,-2390.39876, , ,179.6106901, 
1,21.2,22523.3,22973.83224,22951.99121,-3072.792242, , ,179.879682, 
1,21.21,22846.7,22956.2967,22934.30815,-2731.856701, , ,180.1479947, 
1,21.22,22480,22938.83191,22916.69433,-3081.091912, , ,178.428417, 
1,21.23,22473.3,22921.43764,22899.14952,-3070.397642, , ,180.6286245, 
1,21.24,22643.3,22904.11366,22881.67345,-2883.073661, , ,180.4807469, 
1,21.25,22770,22886.85974,22864.26589,-2739.119744, , ,180.6839783, 
1,21.26,22793.3,22869.67566,22846.92657,-2698.635663, , ,181.2732744, 
1,21.27,23116.7,22852.56119,22829.65526,-2358.12119, , ,181.4296007, 
1,21.28,22586.7,22835.51611,22812.45172,-2871.076105, , ,178.7828292, 
1,21.29,22816.7,22818.54018,22795.31568,-2624.100182, , ,181.7140611, 
1,21.3,22796.7,22801.6332,22778.24691,-2627.1932, , ,181.3469051, 
1,21.31,22873.3,22784.79493,22761.24516,-2533.754934, , ,180.2498266, 
1,21.32,22720,22768.02517,22744.31019,-2670.285167, , ,181.0157452, 
1,21.33,22950,22751.32368,22727.44175,-2423.583679, , ,181.0063535, 
1,21.34,22743.3,22734.69025,22710.63961,-2613.650252, , ,182.7019431, 
1,21.35,22480,22718.12467,22693.90351,-2860.38467, , ,181.9156398, 
1,21.36,22863.3,22701.62672,22677.23322,-2460.586716, , ,182.1721713, 
1,21.37,22603.3,22685.19617,22660.62851,-2704.156174, , ,180.5455621, 
1,21.38,22743.3,22668.83283,22644.08911,-2547.792831, , ,181.7781615, 
1,21.39,21886.7,22652.53648,22627.61481,-3388.096476, , ,182.519314, 
1,21.4,22256.7,22636.3069,22611.20536,-3001.866899, , ,179.9908331, 
1,21.41,22626.7,22620.14389,22594.86052,-2615.703887, , ,180.8775829, 
1,21.42,22336.7,22604.04723,22578.58005,-2889.607233, , ,180.9328605, 
1,21.43,22536.7,22588.01673,22562.36373,-2673.576727, , ,183.0663814, 
1,21.44,22336.7,22572.05217,22546.2113,-2857.612169, , ,182.4371125, 
1,21.45,22540,22556.15334,22530.12254,-2638.413344, , ,182.4919176, 
1,21.46,22566.7,22540.32005,22514.09721,-2595.880053, , ,182.1996158, 
1,21.47,22260,22524.5521,22498.13508,-2886.812095, , ,182.8204037, 
1,21.48,22680,22508.84927,22482.23592,-2451.109266, , ,184.1195264, 
1,21.49,22680,22493.21137,22466.39949,-2435.471366, , ,181.7049807, 
1,21.5,22323.3,22477.6382,22450.62556,-2776.598196, , ,183.7479252, 
